ZCTA,total_arrests,felonies,misdemeanors,violations,AMERICAN INDIAN/ALASKAN NATIVE,ASIAN / PACIFIC ISLANDER,BLACK,BLACK HISPANIC,UNKNOWN,WHITE,WHITE HISPANIC,total_pop,white_count,black_count,native_count,asian_count,hispanic_count,median_income,below_poverty,pct_white,pct_black,pct_native,pct_asian,pct_hispanic,arrest_rate_per_1000,HISPANIC_ARRESTS,black_arrest_rate_per_1000,white_arrest_rate_per_1000,asian_pacific_islander_arrest_rate_per_1000,american_indian/alaskan_native_arrest_rate_per_1000,hispanic_arrest_rate_per_1000
10128,174,75,97,0,5,6,80,16,5,30,32,59000.0,39759.0,3121.0,89.0,6111.0,7406.0,148705.0,5011.0,0.6738813559322034,0.0528983050847457,0.0015084745762711,0.1035762711864406,0.1255254237288135,2.9491525423728815,48,25.6328099967959,0.7545461404964913,0.9818360333824251,56.17977528089887,6.481231433972455
10169,1,0,1,0,0,0,1,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,-666666666.0,0.0,,,,,,inf,0,,,,,
10280,17,5,12,0,0,1,5,1,1,8,1,8668.0,4904.0,161.0,23.0,2407.0,1023.0,206250.0,303.0,0.5657591139824643,0.0185740655283802,0.0026534379326257,0.2776880479926165,0.1180203045685279,1.961236732810337,2,31.055900621118013,1.6313213703099512,0.4154549231408392,0.0,1.9550342130987293
10281,12,4,7,1,1,1,6,1,0,3,0,,,,,,,,,,,,,,,1,,,,,
10282,14,6,7,1,0,1,5,0,0,6,2,5960.0,4207.0,145.0,0.0,903.0,124.0,250001.0,381.0,0.7058724832214766,0.0243288590604026,0.0,0.1515100671140939,0.0208053691275167,2.348993288590604,2,34.48275862068965,1.4261944378416924,1.1074197120708749,,16.129032258064516
10301,2824,1585,1232,0,8,71,1465,168,34,487,591,39799.0,14657.0,9044.0,177.0,2980.0,11634.0,84937.0,6808.0,0.3682755848136887,0.2272418904997613,0.0044473479233146,0.0748762531721902,0.292318902484987,70.95655669740445,759,161.98584697036708,33.22644470219008,23.8255033557047,45.19774011299435,65.23981433728726
10302,491,186,305,0,0,11,222,32,5,41,180,19693.0,5259.0,4135.0,0.0,1161.0,8559.0,76089.0,3939.0,0.2670492053013761,0.2099730868836642,0.0,0.0589549586147362,0.434621439090032,24.932717209160614,212,53.68802902055623,7.796158965582811,9.474590869939707,,24.769248744012152
10303,639,242,396,1,4,20,388,34,6,56,131,25993.0,3951.0,8497.0,0.0,2607.0,9792.0,79429.0,4829.0,0.1520024622013619,0.3268957026891855,0.0,0.1002962336013542,0.3767168083714846,24.583541722771518,165,45.663175238319404,14.173626929891167,7.671653241273495,,16.85049019607843
10304,1515,507,1006,0,4,45,804,80,12,259,311,45843.0,16640.0,11257.0,23.0,6051.0,10924.0,71506.0,7940.0,0.3629779900966342,0.2455554828436184,0.0005017123661191,0.1319939794516065,0.2382915603254586,33.04757542045677,391,71.42222617038288,15.564903846153847,7.4367873078829945,173.91304347826087,35.79274990845844
10305,477,177,299,1,6,22,152,29,7,187,74,41714.0,24112.0,1224.0,241.0,8588.0,6461.0,86294.0,3568.0,0.5780313563791533,0.029342666730594,0.0057774368317591,0.2058781224528935,0.1548880471784053,11.435009828834444,103,124.18300653594771,7.755474452554744,2.5617140195621797,24.896265560165972,15.941804674199041
